	Amborella_trichopoda	Ananas_comosus	Apostasia_shenzhenica	Arabidopsis_thaliana	Asparagus_officinalis	Brachypodium_distachyon	Chiloglottis_trapeziformis	Cymbidium_ensifolium	Dendrobium_catenatum	Dendrobium_hrysotoxum	Dendrobium_nobile	Gastrodia_elata	Musa_acuminata	Oryza_sativa	Phalaenopsis_equestris	Platanthera_guangdongensis	Platanthera_zijinensis	Populu_trichocarpa	Sorghum_bicolor	Spirodela_polyrhiza	Vanilla_planifolia	Vitis_vinifera
'6	1.5	0.5	0.3	0.4	1.3	2.0	0.2	0.7	1.6	0.5	0.6	1.6	1.2	1.3	1.2	0.5	0.5	1.4	1.7	0.3	0.8	0.7
'7	0.8	0.3	0.2	0.3	0.9	1.3	0.1	0.6	0.9	0.3	0.3	0.9	0.8	1.0	0.8	0.3	0.3	0.9	1.2	0.2	0.5	0.4
'8	0.6	0.3	0.2	0.2	0.6	1.1	0.1	0.4	0.7	0.2	0.2	0.6	0.5	0.8	0.5	0.2	0.2	0.6	0.8	0.2	0.3	0.2
'9	0.4	0.1	0.1	0.1	0.4	0.7	0.1	0.3	0.5	0.1	0.2	0.4	0.4	0.5	0.4	0.1	0.1	0.4	0.5	0.1	0.2	0.2
'10	0.3	0.1	0.1	0.1	0.3	0.5	0.0	0.2	0.4	0.1	0.1	0.3	0.3	0.5	0.2	0.1	0.1	0.3	0.4	0.1	0.2	0.2
11-15	0.6	0.3	0.2	0.3	0.7	1.5	0.1	0.5	0.7	0.3	0.3	0.7	0.6	1.2	0.6	0.2	0.3	0.7	1.1	0.2	0.3	0.4
16-20	0.2	0.1	0.1	0.1	0.2	0.6	0.0	0.2	0.2	0.2	0.1	0.2	0.2	0.3	0.1	0.1	0.1	0.3	0.4	0.1	0.1	0.2
21-50	0.1	0.1	0.1	0.1	0.3	0.5	0.0	0.2	0.2	0.3	0.2	0.1	0.2	0.4	0.1	0.1	0.1	0.2	0.4	0.1	0.1	0.3
51-100	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	4396	5388	6898	5265	4521	4967	7211	5946	4246	6168	6826	3602	4731	5362	4268	6413	6544	3450	5350	7027	5463	6241
'2	5052	5408	3932	4016	5060	6296	3622	4836	5162	4434	4860	4336	5204	5888	4868	4658	4514	7216	6678	4146	5626	5464
'3	4077	3477	2331	2298	4080	5064	1791	3483	4251	2601	3018	4182	3954	4863	4251	2589	2658	4812	5241	2073	3660	3240
'4	3420	2152	1276	1480	3164	4472	1012	2468	3548	1624	1860	3680	3128	3820	3564	1796	1544	3936	4012	1156	2312	2028
'5	2790	1285	730	970	2700	3545	640	1830	2645	1135	1370	2695	2430	3080	2820	985	1100	2735	3275	595	1825	1360
'6	2472	834	510	618	2130	3216	324	1170	2514	738	924	2568	1902	2154	1914	762	732	2310	2754	444	1314	1074
'7	1582	616	462	504	1617	2499	259	1176	1638	546	644	1757	1540	1869	1491	602	574	1666	2240	315	868	833
'8	1216	560	368	456	1264	2280	176	824	1408	456	488	1384	1168	1744	1160	336	512	1360	1648	352	648	520
'9	1071	360	324	315	963	1683	189	747	1179	279	477	1071	873	1224	999	288	270	1008	1296	198	486	459
'10	850	240	160	250	720	1460	110	480	960	200	330	880	670	1340	630	250	320	710	950	180	420	550
11-15	1954	853	510	854	2298	5179	198	1784	2363	890	1021	2212	2040	3964	1844	713	875	2440	3836	532	979	1481
