	Amborella_trichopoda	Ananas_comosus	Apostasia_shenzhenica	Arabidopsis_thaliana	Asparagus_officinalis	Brachypodium_distachyon	Chiloglottis_trapeziformis_H1	Cymbidium_ensifolium	Dendrobium_catenatum	Dendrobium_hrysotoxum	Dendrobium_nobile	Gastrodia_elata	Musa_acuminata	Oryza_sativa	Phalaenopsis_equestris	Platanthera_guangdongensis	Platanthera_zijinensis	Populu_trichocarpa	Sorghum_bicolor	Spirodela_polyrhiza	Vanilla_planifolia	Vitis_vinifera
'6	1.6	0.5	0.3	0.4	1.3	2.0	0.2	0.7	1.6	0.5	0.6	1.6	1.2	1.3	1.2	0.5	0.4	1.4	1.7	0.3	0.8	0.7
'7	0.8	0.3	0.2	0.3	0.9	1.3	0.1	0.6	0.9	0.3	0.4	0.9	0.8	1.0	0.8	0.3	0.3	0.9	1.2	0.2	0.5	0.4
'8	0.6	0.3	0.2	0.2	0.6	1.1	0.1	0.4	0.7	0.2	0.2	0.6	0.5	0.8	0.5	0.2	0.3	0.6	0.8	0.2	0.3	0.2
'9	0.4	0.1	0.1	0.1	0.4	0.7	0.1	0.3	0.5	0.1	0.2	0.5	0.4	0.5	0.4	0.1	0.1	0.4	0.5	0.1	0.2	0.2
'10	0.3	0.1	0.1	0.1	0.3	0.5	0.0	0.2	0.4	0.1	0.1	0.3	0.3	0.5	0.2	0.1	0.1	0.3	0.4	0.1	0.1	0.2
11-15	0.6	0.3	0.2	0.3	0.7	1.5	0.1	0.5	0.7	0.3	0.3	0.7	0.6	1.2	0.6	0.2	0.3	0.7	1.1	0.2	0.3	0.5
16-20	0.2	0.1	0.0	0.1	0.3	0.5	0.0	0.2	0.2	0.2	0.1	0.2	0.3	0.3	0.1	0.1	0.1	0.3	0.3	0.0	0.1	0.2
21-50	0.1	0.1	0.1	0.1	0.3	0.5	0.0	0.2	0.2	0.3	0.1	0.1	0.2	0.5	0.1	0.1	0.1	0.2	0.4	0.1	0.1	0.3
51-100	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	4403	5382	6897	5265	4519	4967	7201	5941	4253	6166	6818	3610	4740	5369	4272	6415	6549	3457	5345	7029	5460	6248
'2	5036	5410	3942	4014	5050	6298	3544	4838	5158	4428	4884	4336	5200	5880	4860	4668	4516	7210	6700	4148	5626	5464
'3	4098	3492	2337	2298	4104	5061	1734	3489	4254	2592	2997	4155	3957	4866	4245	2586	2670	4830	5238	2067	3660	3231
'4	3396	2172	1276	1484	3172	4468	1004	2452	3532	1636	1860	3688	3128	3824	3572	1792	1552	3944	4024	1164	2328	2076
'5	2805	1270	750	950	2690	3555	610	1830	2635	1125	1400	2695	2460	3080	2825	975	1100	2720	3280	575	1825	1330
'6	2496	834	504	624	2148	3234	354	1194	2526	768	906	2574	1890	2148	1914	768	702	2310	2766	474	1320	1080
