#	89936403	89948682	-	791	13126	
89936403	89945480	791	9866
89945618	89948682	9983	13126
#	100330225	100349569	-	13379863	13399148	
100330225	100349569	13379863	13399148
#	106678677	112314570	-	99832745	100044165	
106678677	106705666	99832745	99860057
112312558	112314570	100042185	100044165
#	117921378	117923087	-	100431672	100433381	
117921378	117923087	100431672	100433381
#	120827464	120848409	-	100856313	100877256	
120827464	120843803	100856313	100872649
120844231	120848409	100873077	100877256
#	135292990	135323227	-	104088821	104120237	
135292990	135323227	104088821	104120237
